path,bytes,last_modified,last_commit
.gitignore,70,2026-09-14 09:31:35,2026-09-14
PLAN.md,15503,2026-09-14 09:15:10,2026-09-14
README.md,4972,2026-09-14 10:47:56,2026-09-14
e2e/smoke.spec.ts,1187,2026-09-14 10:00:53,2026-09-14
index.html,294,2026-09-14 09:31:35,2026-09-14
package-lock.json,173925,2026-09-14 09:42:48,2026-09-14
package.json,760,2026-09-14 09:42:48,2026-09-14
src-tauri/Cargo.lock,139934,2026-09-14 10:02:44,2026-09-14
src-tauri/Cargo.toml,945,2026-09-14 10:02:42,2026-09-14
src-tauri/build.rs,39,2026-09-14 09:32:07,2026-09-14
src-tauri/capabilities/default.json,303,2026-09-14 09:42:50,2026-09-14
src-tauri/gen/schemas/acl-manifests.json,73308,2026-09-14 10:02:46,2026-09-14
src-tauri/gen/schemas/capabilities.json,231,2026-09-14 10:02:46,2026-09-14
src-tauri/gen/schemas/desktop-schema.json,135709,2026-09-14 10:02:46,2026-09-14
src-tauri/gen/schemas/linux-schema.json,135709,2026-09-14 10:02:46,2026-09-14
src-tauri/icons/128x128.png,7234,2026-09-14 10:04:56,2026-09-14
src-tauri/icons/128x128@2x.png,13876,2026-09-14 10:04:56,2026-09-14
src-tauri/icons/32x32.png,1926,2026-09-14 10:04:56,2026-09-14
src-tauri/icons/icon.icns,17428,2026-09-14 10:05:07,2026-09-14
src-tauri/icons/icon.ico,113570,2026-09-14 10:05:07,2026-09-14
src-tauri/icons/icon.png,24997,2026-09-14 10:04:56,2026-09-14
src-tauri/src/ai_proxy.rs,15858,2026-09-14 13:24:10,2026-09-14
src-tauri/src/export.rs,1855,2026-09-14 12:50:08,2026-09-14
src-tauri/src/fs.rs,9031,2026-09-14 13:31:33,2026-09-14
src-tauri/src/lib.rs,2251,2026-09-14 13:48:11,2026-09-14
src-tauri/src/main.rs,105,2026-09-14 09:34:32,2026-09-14
src-tauri/src/menu.rs,6879,2026-09-14 11:14:21,2026-09-14
src-tauri/src/pick.rs,3420,2026-09-14 13:48:10,2026-09-14
src-tauri/src/secrets.rs,1585,2026-09-14 11:13:51,2026-09-14
src-tauri/src/tts.rs,6835,2026-09-14 12:50:05,2026-09-14
src-tauri/tauri.conf.json,978,2026-09-14 09:32:12,2026-09-14
src/App.tsx,12941,2026-09-14 13:47:21,2026-09-14
src/ai/client.ts,1126,2026-09-14 09:42:42,2026-09-14
src/ai/context.ts,1701,2026-09-14 09:38:57,2026-09-14
src/ai/diff.ts,2058,2026-09-14 09:59:58,2026-09-14
src/ai/prompts.ts,2201,2026-09-14 09:39:06,2026-09-14
src/ai/selection.ts,855,2026-09-14 09:39:18,2026-09-14
src/ai/transform.ts,609,2026-09-14 09:48:58,2026-09-14
src/ai/tts.ts,1889,2026-09-14 11:15:41,2026-09-14
src/commands/registry.ts,7365,2026-09-14 13:47:22,2026-09-14
src/editor/MuyaEditor.tsx,5403,2026-09-14 10:33:11,2026-09-14
src/editor/editBridge.ts,2853,2026-09-14 09:42:30,2026-09-14
src/editor/ghostText.ts,3709,2026-09-14 09:44:26,2026-09-14
src/editor/inserts.ts,2071,2026-09-14 10:43:50,2026-09-14
src/editor/muyaSetup.ts,2716,2026-09-14 09:53:56,2026-09-14
src/lib/tauri.ts,5043,2026-09-14 13:48:02,2026-09-14
src/main.tsx,671,2026-09-14 13:48:04,2026-09-14
src/panels/ChatPanel.tsx,5770,2026-09-14 09:46:48,2026-09-14
src/panels/CommandPalette.tsx,3482,2026-09-14 09:48:08,2026-09-14
src/panels/FileTree.tsx,4768,2026-09-14 11:59:17,2026-09-14
src/panels/FindBar.tsx,2329,2026-09-14 09:47:50,2026-09-14
src/panels/Outline.tsx,997,2026-09-14 09:45:47,2026-09-14
src/panels/SettingsDialog.tsx,7257,2026-09-14 11:38:03,2026-09-14
src/panels/TabsBar.tsx,783,2026-09-14 09:45:33,2026-09-14
src/panels/TransformPopover.tsx,4114,2026-09-14 09:49:11,2026-09-14
src/panels/WordCount.tsx,867,2026-09-14 11:17:03,2026-09-14
src/stores/chat.ts,2962,2026-09-14 11:15:52,2026-09-14
src/stores/settings.ts,1379,2026-09-14 13:24:06,2026-09-14
src/stores/tabs.ts,4000,2026-09-14 11:58:27,2026-09-14
src/stores/toast.ts,391,2026-09-14 09:38:38,2026-09-14
src/stores/workspace.ts,1724,2026-09-14 13:47:26,2026-09-14
src/styles.css,14250,2026-09-14 13:35:20,2026-09-14
src/themes/github.css,1302,2026-09-14 10:33:12,2026-09-14
src/themes/newsprint.css,1267,2026-09-14 10:33:12,2026-09-14
src/themes/night.css,1391,2026-09-14 10:33:12,2026-09-14
src/themes/pixyll.css,1139,2026-09-14 10:33:12,2026-09-14
src/themes/raw.ts,475,2026-09-14 09:49:12,2026-09-14
src/types.ts,1701,2026-09-14 11:15:25,2026-09-14
tests/context.test.ts,1739,2026-09-14 09:55:13,2026-09-14
tests/diff.test.ts,2093,2026-09-14 10:00:01,2026-09-14
tests/prompts.test.ts,740,2026-09-14 09:55:16,2026-09-14
tsconfig.json,593,2026-09-14 10:01:32,2026-09-14
vite.config.ts,409,2026-09-14 09:31:32,2026-09-14
vitest.config.ts,156,2026-09-14 09:54:57,2026-09-14
